IZIXXIII	(0.0035789385008634335+0j)
ZIIYYIII	(-0.0016131752506384183+0j)
ZIIXXIII	(-0.0016131752506384183+0j)
YZIZYIII	(0.0013724358788967073+0j)
XZIZXIII	(0.0013724358788967073+0j)
IZYZYIII	(0.0036578762209916035+0j)
IZXZXIII	(0.0036578762209916035+0j)
ZIYZYIII	(0.003634075448355067+0j)
ZIXZXIII	(0.003634075448355067+0j)
YIZZYIII	(-8.98165204414806e-05+0j)
XIZZXIII	(-8.98165204414806e-05+0j)
IIZZIIII	(0.05929524181655195+0j)
YZYZIIII	(0.004907478795103232+0j)
XZXZIIII	(0.004907478795103232+0j)
IZIZIIII	(0.0683292426650503+0j)
ZIIZIIII	(0.08424382575133195+0j)
YZIYIIII	(-0.002637285511540799+0j)
XZIXIIII	(-0.002637285511540799+0j)
IZYYIIII	(0.004685761056460265+0j)
IZXXIIII	(0.004685761056460265+0j)
ZIYYIIII	(0.0017860067890511924+0j)
ZIXXIIII	(0.0017860067890511924+0j)
YIZYIIII	(-0.009767492701505006+0j)
XIZXIIII	(-0.009767492701505006+0j)
IZZIIIII	(0.06009702977667691+0j)
ZIZIIIII	(0.05433230633363221+0j)
YIYIIIII	(-0.002948202413268426+0j)
XIXIIIII	(-0.002948202413268426+0j)
ZZIIIIII	(0.06428519917726597+0j)
